04-10-2026 18:13:11 RAM 4141/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@42.093C soc2@36.375C soc0@39.187C cv1@38.343C gpu@40.437C tj@42.093C soc1@37.343C cv2@33.843C VDD_IN 4798mW/6007mW VDD_CPU_GPU_CV 644mW/1622mW VDD_SOC 1408mW/1478mW
04-10-2026 18:13:11 RAM 4141/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,8%@729,18%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.75C cpu@42.093C soc2@36.312C soc0@39.218C cv1@38.406C gpu@40.375C tj@42.062C soc1@37.312C cv2@33.937C VDD_IN 4798mW/5973mW VDD_CPU_GPU_CV 644mW/1594mW VDD_SOC 1408mW/1476mW
04-10-2026 18:13:11 RAM 4143/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,16%@729,0%@1984,100%@1728,9%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cv0@37.937C cpu@42.437C soc2@36.406C soc0@39.281C cv1@38.437C gpu@40.75C tj@42.437C soc1@37.25C cv2@33.75C VDD_IN 4959mW/5944mW VDD_CPU_GPU_CV 724mW/1570mW VDD_SOC 1449mW/1475mW
04-10-2026 18:13:11 RAM 4144/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@729,0%@729,8%@729,100%@1984,9%@1984,0%@1984,0%@1984] GR3D_FREQ 0% cv0@38C cpu@42.718C soc2@36.437C soc0@39.187C cv1@38.468C gpu@40.687C tj@42.718C soc1@37.343C cv2@33.843C VDD_IN 5322mW/5928mW VDD_CPU_GPU_CV 1046mW/1555mW VDD_SOC 1451mW/1474mW
04-10-2026 18:13:11 RAM 4145/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1984,0%@1984,0%@1984,0%@1984] GR3D_FREQ 0% cv0@38.187C cpu@42.718C soc2@36.343C soc0@39.218C cv1@38.531C gpu@40.625C tj@42.718C soc1@37.343C cv2@33.968C VDD_IN 5564mW/5918mW VDD_CPU_GPU_CV 1247mW/1547mW VDD_SOC 1451mW/1474mW
04-10-2026 18:13:11 RAM 4146/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@729,9%@729,0%@729,10%@729,0%@729,8%@729,0%@729] GR3D_FREQ 0% cv0@37.812C cpu@42.093C soc2@36.312C soc0@39.156C cv1@38.531C gpu@40.718C tj@42.093C soc1@37.25C cv2@33.875C VDD_IN 5523mW/5908mW VDD_CPU_GPU_CV 1207mW/1539mW VDD_SOC 1451mW/1473mW
04-10-2026 18:13:12 RAM 4146/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,9%@729,0%@729,0%@729,9%@729] GR3D_FREQ 0% cv0@37.718C cpu@42.187C soc2@36.375C soc0@39.187C cv1@38.375C gpu@40.531C tj@42.187C soc1@37.375C cv2@33.906C VDD_IN 5322mW/5893mW VDD_CPU_GPU_CV 1086mW/1527mW VDD_SOC 1451mW/1472mW
04-10-2026 18:13:12 RAM 4146/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@42.218C soc2@36.281C soc0@39.218C cv1@38.406C gpu@40.562C tj@42.218C soc1@37.375C cv2@34C VDD_IN 5201mW/5876mW VDD_CPU_GPU_CV 966mW/1514mW VDD_SOC 1449mW/1472mW
04-10-2026 18:13:12 RAM 4146/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,9%@729,0%@729] GR3D_FREQ 0% cv0@37.843C cpu@42.031C soc2@36.281C soc0@39.093C cv1@38.437C gpu@40.406C tj@42.031C soc1@37.281C cv2@33.812C VDD_IN 5080mW/5857mW VDD_CPU_GPU_CV 845mW/1498mW VDD_SOC 1449mW/1471mW
04-10-2026 18:13:12 RAM 4146/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,8%@729] GR3D_FREQ 0% cv0@37.781C cpu@42C soc2@36.375C soc0@39.125C cv1@38.375C gpu@40.406C tj@42C soc1@37.375C cv2@33.843C VDD_IN 4999mW/5837mW VDD_CPU_GPU_CV 805mW/1482mW VDD_SOC 1449mW/1471mW
04-10-2026 18:13:12 RAM 4146/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.906C soc2@36.281C soc0@39.218C cv1@38.406C gpu@40.687C tj@41.906C soc1@37.437C cv2@33.968C VDD_IN 4959mW/5817mW VDD_CPU_GPU_CV 724mW/1464mW VDD_SOC 1449mW/1470mW
04-10-2026 18:13:12 RAM 4146/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,16%@729,9%@729,16%@729,0%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@42.156C soc2@36.343C soc0@39.187C cv1@38.281C gpu@40.468C tj@42.156C soc1@37.312C cv2@33.843C VDD_IN 4919mW/5797mW VDD_CPU_GPU_CV 724mW/1448mW VDD_SOC 1449mW/1470mW
04-10-2026 18:13:12 RAM 4146/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,20%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.843C soc2@36.343C soc0@39.25C cv1@38.406C gpu@40.343C tj@41.843C soc1@37.406C cv2@33.968C VDD_IN 4919mW/5778mW VDD_CPU_GPU_CV 684mW/1431mW VDD_SOC 1449mW/1469mW
04-10-2026 18:13:12 RAM 4146/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,9%@729,16%@729,0%@729,0%@729,18%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.843C cpu@41.968C soc2@36.343C soc0@39.156C cv1@38.406C gpu@40.687C tj@41.968C soc1@37.281C cv2@33.781C VDD_IN 4878mW/5759mW VDD_CPU_GPU_CV 684mW/1415mW VDD_SOC 1449mW/1469mW
